134,Burung matahari,Crocias albonotatus
135,Belut ,Monopterus albus
136,Cacing pita (Babi),Taenia solium
137,Cacing pita (sapi),Taenia saginata
138,Cacing Gajah,Wucherenia bancrofti
139,Cacing Hati,Fasciola hepatica
140,Cacing Kremi,Oxyuris vermacularis
141,Cacing Palolo,Eunice viridis
142,Cacing gelang,Ascaris lumbricoides
143,Cacing Sondari,Pheretima musica
144,Cacing Tambang,Ancylostoma duodenale
145,Cacing Wawo,Wawo Lysidicea oele
146,Camar,Larus Sp.
147,Caplak Anjing,Rhipicephalus sanguinis
148,Caplak Kerbau,Boophilus microplus
149,Caplak Ternak,Boophilus annulatus
150,Caplak Tikus,Ixodes granulatus
151,Caplak Unggas,Haemophysalis wellingtoni
152,Capung,Anax imperator
153,Cecak,Gymnodactylus deccanensis
154,Cecurut    ,Suncus murinus
155,Cekakak Jawa,Halycon cyanoventris
156,Cekakak Sungai,Halycon chloris
157,Cendrawasih Kuning Kecil,Paradisaea minor
158,Cendrawasih Merah,Paradisaea rubra
159,Cendrawasih,Paradisea regiana
160,Cendrawasih Raja,Cicinnurus regius
161,Cheetah,Acinonyx jubatus
162,Chiton,Tonicella lineata
163,Cicak Matahari,Crocias albonotatus
164,Cicak tokek,Gecko geko
165,Cicak,Helmidactylus frenatus
166,Cikukua Tanduk,Philemon bucerocles
167,Codot,Cynopterus sphinx
168,Congcorang,Manthis religiosa
169,Cumi-cumi,Loligo indica
170,Cobra,Naja sputatix
171,Cukbo / Bajing terbang,Petaurista elegans
172,Dara Mahkota,Lorius lory
173,Derkuku/dederuk,Cocomantis variolopus
174,Dige (Kera Heck),Macaca hecki
175,Dihe (Kera Gorontalo),Macaca nigrescens
176,Domba argali,Ovis ammon
177,Domba domestik,Ovis aries
178,Domba Mouflon,Ovis musimon
179,Domba salju,Ovis nivicola
180,Duyung,Halicore dugong
181,Elang Bondol,Haliastur indus
182,Elang Brontok,Spizaetus cirrhatus
183,Elang Coklat,Accipiter fasciatus
184,Elang Hitam / brontok,Spizaetus cirrhatus
185,Elang Ikan,Pandion haliaetus
186,Elang Jawa,Spizaetus bartelsi
187,Elang Kecil,Hieraetus kienarri
188,Elang Laut Kecil,Ichthyophaga nana
189,Elang Laut Perut,Haleaeaetus leucogaster
190,Elang Tikus,Elanus caerulens
191,Elang Ular Bido,Spilormis cheela
192,Elang Ular,Spillornis chella
193,Endoke (Kera Buton),Macaca brunescens
194,Flamingo,Phoenicopterus ruber
195,Fonti (Kera Togean),Macaca togeanus
196,Gajah afrika,Loxodonta africana
197,Gajah asia,Elephas maximus
198,Gajah,Elephas indicus
199,Gelatik Jawa,Podda oryzifora
200,Gorila,Gorilla gorilla
201,Gurita,Octopus vulgaris
202,Gurita Raksasa,Paroctopus defleini
203,Gangsa batu aboti (burung),Sula abbotti
204,Gangsa batu muka biru,Sula dactylatra
205,Gangsa batu Sula,Sula leucogaster
206,Gangsa batu kaki merah Sula sula,Sula sula
207,Hada (Kera Sepatu),Macaca ochreata
208,Hama Buah,Bactrocerra sp.
209,Hama Gudang,Tribolium sp.
210,Harimau Dahan,Neofelis nebulosa
211,Harimau Sumatera,Panthera tigris sumatrae
212,Harimau Bali,Panthera tigris balica
213,Harimau Jawa,Panthera tigris sondaica
214,Harimau,Panthera tigris
215,Hiu Biru Besar,Prionace glauca
216,Hiu Geger Lintang Jinak,Rhincodon typus
217,Hiu Goblin,Scapanohynchus owstoni
218,Hiu Macan Tutul,Triakis semifasciata
219,Hiu Martil,Sphyrna zygaena
220,Hiu Putih Besar,Carcharodon cacharias
221,Hyena,Crocuta crocuta
222,Ibis hitam,Plegadis falcinellus
223,Ibis hitam punggung putih,Pseudibis davisoni
224,Ibis putih,Threskiornis aethiopicus
225,Ikan raja laut,Latimeria chalumnae
226,Ikan Bandeng,Chanos chanos
227,Ikan Gurami,Osphronemus goramy
228,Ikan Koki,Carassius auratus
229,Ikan Lele,Clarias bathracus
230,Ikan Mas,Cyprinus caprio
231,Ikan Mujair,Tilapia massambica
232,Ikan Pari Manta,Manta birostris
233,Ikan Paru,Lepidosiren paradoxa
234,Itik liar,Cairina scutulata
235,Jalak Bali,Leucopsar rotschildi
236,Jalak gunung,Sturnus contra
237,Jalak koci,Copsychus chinensis
238,Jalak Putih,Sturnus melanopterus
239,Jangkrik,Gryllus bimaculatus
240,Jelarang (Tupai Hitam Besar),Ratufa bicolor
241,Jerapah,Giraffa cameliopardalis
242,Joja (Lutung Mentawai),Presbitis potenziani
243,Julang Emas,Rhicticeros undulatus
244,Jelarang,Ratufa bicolor
245,Junai / Burung mas,Caloenas nicobarica
246,Julang / Rangkong Sulawesi,Aceros cassidix
247,Jantingan gunung,Aethopyga exima
248,Kadal Panan,Tiliqua gigas
249,Kadal Pasir,Lacerta agilis
250,Kadal,Mabouya multifasciata
251,Kakak Tua Besar Jambul Kuning,Cacatua galerita
252,Kakak Tua Kecil Jambul Kuning,Cacatua sulphurea
253,Kakak Tua Raja,Probosciger atertimus
254,Kakak tua gofin,Cacatua goffini
255,Kakal Tua Seram,Cacatua moluccensis
256,Kaki Seribu,Julus virgatus
257,Kalajengking Australia,Androctenus australis
258,Kalajengking Buku,Chelifer canccroides
259,Kalajengking,Thelyponus condutus
260,Kalaweit,Hylobates albibarbis
261,Kalong,Pteropus edulis
262,Kambing Sumatera,Capricornis sumatrensis
263,Kancil,Tragulus javanicus
264,Kangkareng Hitam,Anthracoceros malayanus
265,Kanguru Pohon,Dendrogalus ursinus
266,Kasturi Raja,Raja Psittrichas fulgidus
267,Kasturi Sulawesi,Trichoglossus ornatus
268,Kasuari gelambir satu,Casuarius unappenddiculatus
269,Kasuari kecil,Casuarius bennetti
270,Kasuari,Casuarius casuarius
271,Katak hijau,Rana macrodon
272,Katak terbang,Rachoporus renwardii
273,Kecoa,Blattaria sp.
274,Kedih,Presbytis thomasi
275,Kelabang Raksasa,Scolopendra gigantea
276,Kelasi (Lutung Maron),Presbitis rubicunda
277,Keong Gondang,Pilla ampulaceae
278,Keong,Vivipara javanica
279,Kepala kambing (kerang),Cassis cornuta
280,Kepik Emas,Coccinela sp.
281,Kepiting,Scyda serrata
282,Kera Abu-abu,Macaca fascicularis
283,Kera Hitam Dare ,Macaca maura
284,Kera Hitam Sulawesi,Macaca nigra
285,Kera Hitam / Budeng,Presbytis cristata
286,Kera tak berbuntut,Hylobatidae Owa
287,Kerang Hijau,Mytilus viridis
288,Kerang Mutiara,Pinctada maxima
289,Kerbau Afrika,Syncerus caffer
290,Kerbau,Bubalus bubalis
291,Ketam kelapa,Birgus latro
